modelo_aeronave,idade_aeronave_anos,horas_voo_total,tipo_motor,companhia_aerea,ultima_manutencao_meses,ciclos_pouso_decolagem,temperatura_media_operacao,falha_critica,tipo_falha
Airbus A330,11,37109,Turbofan,Delta,9,4851,0.5015987750752302,1.0,Pressurização
Airbus A350,3,43465,Turbofan,Emirates,2,283,-12.314876517605086,1.0,Motor
Boeing 787,8,8516,Turbofan,GOL,13,1441,21.34012626139755,0.0,Nenhuma
Embraer E190,14,40279,Turbojato,United,13,2942,-33.653760205155955,0.0,Nenhuma
Airbus A330,14,37761,Turbofan,Azul,23,1305,37.727431429094025,1.0,Comunicações
Boeing 777,10,32381,Turbofan,GOL,23,2588,-38.24530763860757,0.0,Nenhuma
Airbus A350,2,17558,Turbojato,United,4,3740,41.79976134225362,0.0,Nenhuma
Boeing 787,14,24972,Turboprop,American,12,939,-0.6997739205536959,0.0,Nenhuma
Airbus A320,9,41846,Turboprop,Delta,17,4737,-4.923054759698999,1.0,Motor
Airbus A320,3,35426,Turbofan,LATAM,2,795,-18.20225851562901,0.0,Nenhuma
Boeing 787,21,35332,Turbojato,British,13,1769,-39.14395353925593,1.0,Estrutural
Airbus A350,26,36521,Turboprop,Emirates,18,477,-16.64282752414702,0.0,Nenhuma
Boeing 777,8,24587,Turbofan,LATAM,15,781,-30.701006335871615,0.0,Nenhuma
Boeing 787,16,13328,Turbofan,Emirates,8,849,16.084771628938547,0.0,Nenhuma
Embraer E190,2,31628,Turbojato,Delta,15,4347,-12.87862735273827,0.0,Nenhuma
Embraer E190,6,1901,Turbofan,Emirates,1,885,25.210242914311237,0.0,Nenhuma
Airbus A320,28,20143,Turboprop,Azul,20,184,-22.41212407558006,0.0,Nenhuma
Airbus A330,21,15693,Turbojato,GOL,10,2588,36.51996288172931,1.0,Estrutural
Boeing 777,29,27353,Turboprop,Azul,12,3768,4.4534287839957685,0.0,Nenhuma
Airbus A320,26,45364,Turboprop,LATAM,5,90,-30.26697330013658,0.0,Nenhuma
Airbus A330,25,20807,Turboprop,British,9,3417,-5.92815496945429,0.0,Nenhuma
Airbus A330,12,37482,Turbofan,United,23,2465,-22.42535545407026,0.0,Nenhuma
Bombardier CRJ,5,20111,Turbofan,British,8,2090,-23.026738775704768,0.0,Nenhuma
Embraer E190,2,44291,Turboprop,Delta,16,4389,3.041427700437758,0.0,Nenhuma
Airbus A350,16,12450,Turboprop,Delta,14,2999,17.11082132909167,1.0,Outros
Boeing 737,5,11204,Turbojato,Azul,13,4311,37.4875474677914,0.0,Nenhuma
Airbus A350,15,43611,Turbojato,United,23,3516,2.6837709149105393,1.0,APU
Boeing 737,12,12367,Turbofan,Azul,21,3138,42.09629587995806,1.0,Instrumentos
Boeing 787,4,3245,Turbofan,GOL,13,4873,40.03896242623634,1.0,Sistema de Pouso
Embraer E190,15,4366,Turbojato,American,5,1165,33.53031504867063,0.0,Nenhuma
Airbus A330,11,32745,Turboprop,United,16,4628,2.498067521805581,0.0,Nenhuma
Boeing 777,16,45224,Turbofan,American,11,2640,-28.0231647865214,0.0,Nenhuma
Boeing 737,23,6318,Turboprop,British,22,3623,-21.47812006569228,0.0,Nenhuma
Airbus A350,6,49361,Turbojato,GOL,5,3028,15.051950230517924,1.0,Sistema de Combustível
Airbus A330,14,30616,Turbofan,Emirates,13,2497,-4.150826675843334,1.0,Pressurização
Boeing 737,18,15993,Turbofan,Emirates,11,1280,-27.521861300910306,1.0,Outros
Boeing 737,12,28538,Turbojato,American,19,2716,0.7144843593413839,0.0,Nenhuma
Bombardier CRJ,27,20947,Turbofan,LATAM,3,4975,-38.5184036323261,1.0,Elétrico
Boeing 737,11,30931,Turbojato,British,15,4904,22.381106526465423,1.0,Sistema de Pouso
Boeing 777,13,18408,Turbofan,American,7,4308,-33.74558996837628,0.0,Nenhuma
Embraer E190,21,29836,Turbojato,GOL,7,2644,13.474657692530116,0.0,Nenhuma
Boeing 777,23,41492,Turbofan,American,6,3480,27.40587614817595,1.0,Sistema Hidráulico
Airbus A320,11,4525,Turboprop,Delta,3,2967,-28.72527067141293,0.0,Nenhuma
Airbus A330,23,20593,Turboprop,Azul,13,3002,4.084288706611062,1.0,Estrutural
Embraer E190,16,6655,Turboprop,LATAM,7,2045,26.22073872055492,0.0,Nenhuma
Bombardier CRJ,15,47107,Turbofan,Delta,5,3941,-17.846156345654883,0.0,Nenhuma
Embraer E190,21,33987,Turbofan,Delta,23,356,-26.152089594862375,1.0,Elétrico
Embraer E190,28,48158,Turboprop,GOL,18,1412,-11.370375567766168,1.0,Elétrico
Airbus A350,15,21463,Turboprop,Azul,22,2152,7.149430009581842,1.0,Sistemas de Navegação
Embraer E190,25,21436,Turbojato,Azul,8,3080,8.89876556265375,0.0,Nenhuma
Bombardier CRJ,4,4926,Turbojato,United,17,382,-28.875511656096606,1.0,Outros
Boeing 777,11,23803,Turbojato,British,20,2802,-1.1066479477124105,1.0,Comunicações
Embraer E190,19,45780,Turboprop,LATAM,1,292,-17.196013379143533,1.0,Motor
Boeing 787,15,28106,Turboprop,British,14,1934,31.57205853552081,0.0,Nenhuma
Airbus A330,4,48332,Turboprop,GOL,17,1482,-13.346113774557384,0.0,Nenhuma
Embraer E190,21,28651,Turbojato,LATAM,10,2600,31.28988458537806,0.0,Nenhuma
Airbus A330,13,14267,Turbofan,United,12,352,-3.5720079288476683,0.0,Nenhuma
Boeing 787,22,11808,Turboprop,American,16,4380,21.759790095248526,1.0,Elétrico
Boeing 787,19,44745,Turbofan,Delta,14,3159,3.355119426252216,1.0,Sistema de Combustível
Airbus A330,2,46171,Turbofan,LATAM,16,2236,12.866823051132997,1.0,APU
Boeing 737,14,25270,Turbofan,British,8,4340,-6.394696576782437,1.0,Pressurização
Airbus A320,29,29072,Turbojato,Delta,23,1600,25.297575263636716,1.0,Sistema Hidráulico
Airbus A350,4,41948,Turbofan,GOL,10,1842,-3.8589023962390456,1.0,APU
Boeing 737,16,2704,Turboprop,British,17,696,-1.1157600402051386,1.0,Pressurização
Boeing 737,21,27733,Turbojato,American,18,4706,4.002686799631363,0.0,Nenhuma
Boeing 777,20,22229,Turboprop,GOL,20,762,30.705050062808596,1.0,Comunicações
Airbus A350,14,31631,Turboprop,Emirates,16,4558,16.047208931124516,0.0,Nenhuma
Airbus A350,27,34370,Turbojato,American,17,587,-10.32136714191127,1.0,Elétrico
Boeing 737,29,38511,Turboprop,American,16,284,16.977168888431137,1.0,Sistema Hidráulico
Embraer E190,15,39882,Turboprop,Delta,19,2446,14.606258705729068,0.0,Nenhuma
Boeing 777,28,49567,Turbojato,GOL,8,1554,39.136638449774864,1.0,Estrutural
Boeing 777,3,41975,Turboprop,GOL,6,1424,31.520397062154743,1.0,Sistema de Combustível
Boeing 787,8,47181,Turbofan,LATAM,6,4561,15.032988518856094,0.0,Nenhuma
Bombardier CRJ,16,22107,Turboprop,British,21,1959,-10.971895591856295,1.0,Sistemas de Navegação
Airbus A350,10,25468,Turbofan,Emirates,9,965,26.263998153207908,0.0,Nenhuma
Boeing 737,4,33898,Turboprop,GOL,4,4008,8.892704910338082,1.0,Pressurização
Boeing 787,18,12408,Turbojato,LATAM,12,130,43.74794898857664,0.0,Nenhuma
Airbus A330,2,26923,Turbojato,Emirates,12,2133,-18.961979071566656,0.0,Nenhuma
Airbus A320,17,44115,Turboprop,Azul,23,2738,-33.22925352087461,1.0,Sistema de Combustível
Bombardier CRJ,13,9671,Turbojato,Azul,17,1740,-34.05919598952445,0.0,Nenhuma
Bombardier CRJ,4,13221,Turboprop,Emirates,15,806,14.40258300989283,0.0,Nenhuma
Bombardier CRJ,26,49929,Turbojato,Azul,9,2720,39.83711945747953,1.0,Sistema Hidráulico
Boeing 777,25,17116,Turbofan,United,7,3801,-39.83578728522206,1.0,Sistema Hidráulico
Airbus A330,11,43012,Turboprop,GOL,10,3602,21.69053899141108,0.0,Nenhuma
Bombardier CRJ,7,38958,Turbofan,United,16,517,15.85054051530036,0.0,Nenhuma
Airbus A330,12,46669,Turbofan,British,12,1544,22.245856338654598,1.0,Sistema de Combustível
Embraer E190,10,8159,Turboprop,GOL,7,1069,-9.790540425201478,0.0,Nenhuma
Bombardier CRJ,7,43869,Turbofan,LATAM,18,951,29.74219779591769,0.0,Nenhuma
Airbus A320,13,12204,Turboprop,United,15,722,-36.199910829396735,0.0,Nenhuma
Airbus A330,7,33293,Turbofan,United,6,488,24.211643552872346,0.0,Nenhuma
Airbus A330,24,48652,Turboprop,British,12,4272,-17.298884985327543,1.0,Estrutural
Airbus A320,17,46973,Turboprop,United,11,2126,0.531210862936085,0.0,Nenhuma
Bombardier CRJ,10,31726,Turbojato,American,20,494,29.92408308236375,0.0,Nenhuma
Airbus A320,29,24352,Turboprop,LATAM,3,1015,-16.934482008753353,0.0,Nenhuma
Airbus A330,10,32582,Turboprop,Azul,2,3840,-24.257361510269053,0.0,Nenhuma
Airbus A320,24,23294,Turbofan,LATAM,6,513,17.91162075457016,1.0,Elétrico
Airbus A330,4,41920,Turboprop,American,22,2248,5.338565778078383,1.0,Motor
Airbus A330,20,13879,Turbojato,British,5,2337,3.724328843425681,0.0,Nenhuma
Embraer E190,4,7506,Turbofan,British,18,3815,-18.17459117927738,0.0,Nenhuma
Boeing 737,22,9182,Turbofan,GOL,16,3226,-37.03517400529765,1.0,Sistema Hidráulico
Airbus A330,7,34340,Turbojato,LATAM,8,4058,-5.127123241804064,0.0,Nenhuma
Bombardier CRJ,22,32930,Turbofan,Emirates,20,3554,-30.942444160239724,1.0,Elétrico
Boeing 787,1,23591,Turbofan,Emirates,22,962,37.00907780518219,1.0,Instrumentos
Boeing 777,12,33483,Turbofan,British,11,546,-36.493722504902905,1.0,Outros
Airbus A350,24,24489,Turbofan,United,10,1513,-3.3096773943275792,0.0,Nenhuma
Boeing 737,13,10415,Turbojato,British,12,4303,-35.55912538542963,0.0,Nenhuma
Boeing 737,10,43052,Turbojato,British,21,4317,-31.878770661994864,0.0,Nenhuma
Boeing 737,15,19490,Turbofan,British,6,543,16.003666688371872,0.0,Nenhuma
Embraer E190,27,25234,Turbofan,British,20,1476,15.004457182798035,0.0,Nenhuma
Airbus A330,13,15324,Turbojato,Emirates,5,1742,-37.19056343524762,1.0,Pressurização
Embraer E190,23,36581,Turbojato,Emirates,23,1843,-39.903824614726034,1.0,Estrutural
Airbus A330,22,11533,Turbojato,Azul,9,2773,-33.30046343436336,0.0,Nenhuma
Bombardier CRJ,22,43236,Turbofan,Azul,16,708,24.854906305515087,1.0,Estrutural
Embraer E190,21,16741,Turbofan,GOL,22,4811,9.689000183878107,0.0,Nenhuma
Embraer E190,22,6439,Turboprop,British,14,4512,-36.759949158978216,1.0,Estrutural
Boeing 777,28,47964,Turbojato,Emirates,22,599,1.4882463491903195,0.0,Nenhuma
Boeing 787,9,48062,Turbofan,LATAM,8,692,20.522495349628365,0.0,Nenhuma
Embraer E190,26,35563,Turbojato,American,20,4400,33.86086854106853,1.0,Sistema Hidráulico
Boeing 777,9,34964,Turbofan,GOL,19,257,39.3931017060159,0.0,Nenhuma
Airbus A320,15,11685,Turbojato,Emirates,14,2547,-12.167552148904335,0.0,Nenhuma
Boeing 787,10,27545,Turbofan,LATAM,7,4240,-28.454243584872415,0.0,Nenhuma
Bombardier CRJ,24,45269,Turboprop,British,5,1933,-19.861296737826965,1.0,Elétrico
Embraer E190,26,47618,Turboprop,Delta,18,2936,25.974576823419014,1.0,Elétrico
Airbus A350,25,19667,Turbojato,British,2,527,42.57615827859641,1.0,Sistema Hidráulico
Boeing 737,29,36912,Turbofan,Azul,11,811,-0.3565425243676543,0.0,Nenhuma
Airbus A320,10,22125,Turbofan,American,22,239,-14.04497684843787,1.0,Sistemas de Navegação
Airbus A320,8,39688,Turbojato,Emirates,8,805,-3.5188005333970693,0.0,Nenhuma
Bombardier CRJ,24,27576,Turbofan,Emirates,1,1496,-14.090882705163743,0.0,Nenhuma
Boeing 777,16,45105,Turbojato,United,22,4981,-18.198560527391887,1.0,APU
Airbus A320,17,19529,Turbofan,American,12,1713,10.468813954610262,0.0,Nenhuma
Boeing 787,26,23473,Turbojato,United,2,1885,-38.662441668248725,0.0,Nenhuma
Embraer E190,27,39621,Turbofan,American,18,4278,-17.938058863476005,1.0,Sistema Hidráulico
Embraer E190,5,31933,Turbojato,Azul,7,4200,16.217476616824065,1.0,Sistema de Pouso
Airbus A350,4,43809,Turbofan,United,17,4110,-37.274670813921574,0.0,Nenhuma
Bombardier CRJ,18,2432,Turboprop,LATAM,22,4655,-32.927845596740525,1.0,Instrumentos
Boeing 737,24,44754,Turbofan,United,23,4815,-15.061327693208291,1.0,Elétrico
Boeing 777,19,2257,Turbojato,GOL,14,3662,34.613407881763706,0.0,Nenhuma
Boeing 737,4,31222,Turboprop,LATAM,7,1739,25.015323614050175,0.0,Nenhuma
Airbus A320,28,38353,Turbofan,GOL,22,1366,-38.1166864996193,1.0,Elétrico
Bombardier CRJ,7,38905,Turboprop,British,3,4879,2.6455894185218085,0.0,Nenhuma
Airbus A350,10,1616,Turbofan,American,6,3236,-16.651563011069577,0.0,Nenhuma
Boeing 737,25,44027,Turboprop,LATAM,20,4070,15.134881020275351,1.0,Sistema Hidráulico
Boeing 787,18,12191,Turbojato,American,2,4404,21.332080020444202,0.0,Nenhuma
Embraer E190,19,992,Turbofan,British,17,1195,33.343319055989014,0.0,Nenhuma
Airbus A320,4,28382,Turbofan,Delta,12,4444,0.41038015384120996,0.0,Nenhuma
Airbus A350,10,9311,Turbojato,Emirates,12,610,44.528257526374674,0.0,Nenhuma
Boeing 737,1,28308,Turboprop,American,17,1962,43.2988191194043,0.0,Nenhuma
Boeing 777,23,24772,Turbojato,British,10,1914,34.984171580037824,1.0,Elétrico
Boeing 787,18,28899,Turbojato,American,3,346,8.863907088436022,1.0,Outros
Boeing 787,5,6974,Turboprop,British,20,2459,-6.16945281217572,0.0,Nenhuma
Boeing 737,15,27456,Turbojato,GOL,18,2686,-9.027163638118278,0.0,Nenhuma
Embraer E190,17,47653,Turbofan,British,13,1511,-38.96939624254169,1.0,Sistema de Combustível
Boeing 737,3,43006,Turbofan,United,12,4342,-18.820167734398847,0.0,Nenhuma
Airbus A320,12,14479,Turbofan,Delta,17,2318,21.098699970678986,0.0,Nenhuma
Boeing 737,2,45023,Turbojato,American,4,1044,11.308728490910653,1.0,Motor
Boeing 787,1,43065,Turbofan,British,23,57,37.895886079240356,1.0,Sistema de Combustível
Airbus A350,23,28828,Turbofan,British,10,2641,-35.74810731209258,1.0,Estrutural
Boeing 737,21,47875,Turbofan,American,11,2565,-26.8014887299269,0.0,Nenhuma
Embraer E190,17,13367,Turbofan,Emirates,6,4465,27.085722094931057,0.0,Nenhuma
Bombardier CRJ,22,26351,Turbofan,Delta,6,1467,-9.526851348396626,0.0,Nenhuma
Airbus A350,16,31779,Turbofan,Delta,9,2366,-29.94064663398038,0.0,Nenhuma
Boeing 777,5,31027,Turbojato,British,15,3982,44.698292933507574,1.0,Pressurização
Airbus A330,15,8366,Turbofan,LATAM,2,1337,26.916275726895847,0.0,Nenhuma
Boeing 737,3,15949,Turbofan,GOL,4,2894,-5.257011875559584,0.0,Nenhuma
Embraer E190,28,11185,Turboprop,Delta,5,1168,29.98453554042193,1.0,Sistema Hidráulico
Airbus A350,7,24044,Turbojato,Delta,17,602,17.851328960128036,0.0,Nenhuma
Embraer E190,11,5951,Turbojato,Azul,8,710,27.14785456343583,0.0,Nenhuma
Boeing 777,10,22142,Turbojato,United,8,765,29.292542093080243,0.0,Nenhuma
Boeing 787,9,41816,Turbojato,Delta,22,3635,-32.79806192032298,1.0,Sistema de Combustível
Embraer E190,14,40454,Turbofan,GOL,12,3811,12.952695453488133,1.0,Motor
Airbus A350,13,39370,Turbofan,United,21,2579,-39.42322799696966,1.0,Sistemas de Navegação
Embraer E190,29,31530,Turboprop,United,8,4020,-36.306219064400494,0.0,Nenhuma
Embraer E190,25,31373,Turboprop,American,19,3457,36.83830076974647,1.0,Estrutural
Embraer E190,25,1119,Turbojato,American,3,1508,4.842916315328466,0.0,Nenhuma
Airbus A320,2,34150,Turboprop,American,18,3317,22.551668798824615,0.0,Nenhuma
Airbus A320,3,25872,Turboprop,American,21,904,31.272584187667405,1.0,Comunicações
Boeing 787,7,4142,Turbojato,Azul,19,4810,40.714875242989734,1.0,Comunicações
Boeing 737,21,28501,Turbojato,Delta,19,3587,33.89499207343765,0.0,Nenhuma
Embraer E190,18,34564,Turboprop,American,15,1947,1.0814731392699812,0.0,Nenhuma
Boeing 777,3,29790,Turbofan,British,6,322,-11.442523872656523,0.0,Nenhuma
Boeing 737,10,14622,Turboprop,LATAM,16,4137,-26.868074922486755,0.0,Nenhuma
Boeing 777,22,25320,Turboprop,American,8,1322,-5.972673988581207,0.0,Nenhuma
Boeing 737,29,3395,Turbofan,Delta,16,4424,-8.84804577130111,0.0,Nenhuma
Boeing 787,7,5866,Turbofan,American,18,4069,7.563861566249237,0.0,Nenhuma
Embraer E190,9,9211,Turbojato,Azul,20,865,16.568299744363138,1.0,Comunicações
Embraer E190,17,20096,Turbojato,GOL,16,4421,43.15766549782903,1.0,Pressurização
Airbus A330,11,19293,Turboprop,GOL,11,972,21.91282581856226,0.0,Nenhuma
Boeing 777,7,8699,Turbofan,Delta,7,4787,14.718625257648483,1.0,Outros
Boeing 737,24,11217,Turbojato,British,17,4650,-11.517143087190881,1.0,Sistema Hidráulico
Boeing 737,28,36691,Turboprop,GOL,17,4917,-37.067170497642294,1.0,Sistema Hidráulico
Bombardier CRJ,14,10711,Turbofan,Emirates,12,1314,-15.509364047351198,0.0,Nenhuma
Bombardier CRJ,19,46050,Turboprop,GOL,13,3774,25.318071539067503,1.0,Motor
Airbus A320,4,23860,Turbojato,LATAM,10,2837,-22.551885031676854,0.0,Nenhuma
Airbus A330,26,22042,Turbojato,Delta,7,2772,20.535996462299728,1.0,Estrutural
Airbus A350,6,31812,Turbofan,British,14,4273,9.281286618400344,1.0,Pressurização
Bombardier CRJ,10,45742,Turboprop,Delta,23,2600,-25.392166071210486,0.0,Nenhuma
Airbus A350,7,36935,Turbofan,GOL,1,2999,-17.761891465194456,0.0,Nenhuma
Airbus A320,13,28747,Turbojato,GOL,17,1723,2.1858062963505063,1.0,Outros
Airbus A320,14,22857,Turbojato,GOL,4,4637,-4.438150065832964,1.0,Sistema de Pouso
Airbus A320,4,41545,Turboprop,United,21,3142,26.17792704147456,0.0,Nenhuma
Boeing 777,8,28191,Turboprop,Azul,5,2888,22.424394616175995,0.0,Nenhuma
Boeing 777,5,12924,Turboprop,American,20,1716,8.83883279520645,0.0,Nenhuma
Boeing 787,1,19352,Turbofan,Emirates,23,4561,29.893350475198645,1.0,Instrumentos
Boeing 787,4,23101,Turboprop,Azul,7,2245,7.826910958166231,0.0,Nenhuma
Airbus A320,3,18520,Turboprop,Delta,10,1434,41.97308681586712,1.0,Outros
Airbus A330,9,8655,Turbojato,Emirates,17,4453,-21.53595157215808,0.0,Nenhuma
Boeing 737,8,4083,Turbojato,LATAM,7,4004,20.701219456182983,0.0,Nenhuma
Boeing 777,1,16015,Turboprop,American,1,2949,-8.554748775370221,0.0,Nenhuma
Airbus A330,27,37277,Turboprop,LATAM,7,110,-16.28787347428352,1.0,Sistema Hidráulico
Embraer E190,6,20210,Turbojato,British,11,3997,-24.667064542744406,0.0,Nenhuma
Boeing 777,9,43678,Turboprop,United,9,2340,6.962795482231229,1.0,APU
Boeing 777,7,25032,Turbofan,Delta,12,522,-21.685098216317044,0.0,Nenhuma
Boeing 787,4,19101,Turbofan,United,3,1008,-22.970177626885498,0.0,Nenhuma
Boeing 737,13,5467,Turbofan,Delta,4,582,44.19521193212452,0.0,Nenhuma
Boeing 737,17,19253,Turboprop,LATAM,4,543,28.148530431889668,0.0,Nenhuma
Bombardier CRJ,28,20522,Turbojato,LATAM,13,131,23.603529721621904,0.0,Nenhuma
Airbus A350,2,43963,Turboprop,LATAM,23,3020,27.495153200034167,0.0,Nenhuma
Airbus A350,28,9635,Turboprop,Delta,19,61,42.358444266093116,1.0,Elétrico
Airbus A350,5,6222,Turbojato,GOL,10,4594,8.728518544022293,0.0,Nenhuma
Airbus A350,12,27913,Turbojato,LATAM,5,811,-21.279270420756852,0.0,Nenhuma
Embraer E190,27,27736,Turbojato,United,7,3235,33.28781946402532,0.0,Nenhuma
Embraer E190,21,16014,Turbofan,British,16,75,23.132112003597662,1.0,Sistema Hidráulico
Boeing 777,8,44396,Turboprop,American,1,1856,-4.783793451595287,0.0,Nenhuma
Airbus A320,6,37712,Turbojato,Delta,12,4207,0.25340737884494047,0.0,Nenhuma
Boeing 787,8,40886,Turboprop,Emirates,2,4374,-5.043546129296132,1.0,Motor
Boeing 787,18,20831,Turbofan,United,7,4752,39.045083619465345,1.0,Outros
Airbus A350,3,18560,Turbofan,Azul,11,3709,-10.799813022644997,1.0,Outros
Boeing 777,22,1696,Turbojato,British,13,1575,41.89616368577467,1.0,Sistema Hidráulico
Bombardier CRJ,12,12797,Turbojato,Azul,2,810,37.37310055658574,0.0,Nenhuma
Airbus A330,29,3287,Turboprop,American,7,644,13.594297091094738,1.0,Sistema Hidráulico
Airbus A320,26,24316,Turbojato,GOL,15,1105,9.284850713506344,1.0,Sistema Hidráulico
Boeing 777,3,41195,Turboprop,LATAM,11,1904,-8.542411194052477,0.0,Nenhuma
Airbus A320,22,20202,Turbojato,Delta,2,3133,-38.44123693409476,1.0,Elétrico
Airbus A320,6,25742,Turboprop,United,7,3966,-29.15202916979097,0.0,Nenhuma
Airbus A320,2,2676,Turboprop,Emirates,4,3725,24.109662484711635,0.0,Nenhuma
Boeing 777,23,20627,Turboprop,LATAM,11,2098,0.08091075999404751,0.0,Nenhuma
Airbus A350,12,42060,Turboprop,United,2,1508,-27.26375859402271,0.0,Nenhuma
Boeing 787,2,27728,Turbofan,Delta,16,1269,-17.563327398790967,0.0,Nenhuma
Boeing 787,6,20708,Turboprop,Azul,7,4278,40.56613648699498,1.0,Pressurização
Airbus A350,17,28982,Turbojato,LATAM,13,4231,-8.79370899862747,1.0,Sistema de Pouso
Airbus A320,3,9671,Turbofan,American,5,1549,37.15296534362804,0.0,Nenhuma
Airbus A330,2,35719,Turbofan,GOL,17,1880,-14.10595425504598,0.0,Nenhuma
Boeing 737,23,33896,Turboprop,American,21,3445,6.173708021208675,1.0,Sistema Hidráulico
Boeing 777,20,43089,Turbofan,GOL,12,1253,-38.259447914213176,0.0,Nenhuma
Boeing 737,8,41046,Turboprop,British,19,4320,4.35938438175404,1.0,Motor
Bombardier CRJ,22,4196,Turbojato,United,7,2860,14.14007090190357,1.0,Sistema Hidráulico
Airbus A350,12,20558,Turboprop,LATAM,6,3142,-20.084066556339877,0.0,Nenhuma
Airbus A330,26,20813,Turbofan,LATAM,8,3094,9.209659977455345,0.0,Nenhuma
Boeing 777,4,19649,Turbojato,British,13,4723,15.00926062433377,0.0,Nenhuma
Airbus A350,5,46240,Turboprop,GOL,5,3564,18.385316662449306,1.0,Sistema de Combustível
Airbus A320,13,41575,Turbojato,Azul,2,1848,25.994282371878768,1.0,Sistema de Combustível
Boeing 787,29,5456,Turbojato,Delta,9,2625,-13.536164350999599,1.0,Sistema Hidráulico
Boeing 737,15,10695,Turbofan,American,11,194,8.26104129670965,0.0,Nenhuma
Embraer E190,25,17576,Turbojato,British,6,4907,43.43421752999053,0.0,Nenhuma
Embraer E190,23,1605,Turbofan,Emirates,7,3976,36.34225450653835,0.0,Nenhuma
Airbus A330,16,15917,Turbojato,Emirates,7,1427,40.97656138836115,1.0,Sistema de Pouso
Airbus A320,10,25229,Turboprop,United,19,3196,-7.178406125071433,0.0,Nenhuma
Bombardier CRJ,25,47456,Turbojato,British,6,1875,26.888889001216242,1.0,Sistema Hidráulico
Boeing 737,23,30599,Turboprop,American,11,843,12.691325899629561,0.0,Nenhuma
Airbus A320,16,33098,Turboprop,American,11,1651,-32.96751793970951,1.0,Pressurização
Boeing 737,12,30461,Turbojato,United,7,4464,30.03833307835056,1.0,Outros
Airbus A330,17,13102,Turboprop,United,2,1160,17.553608490375993,1.0,Pressurização
Airbus A330,16,9756,Turbojato,LATAM,19,4103,-23.092024441202323,1.0,Instrumentos
Bombardier CRJ,12,21084,Turbojato,American,4,4843,-33.222222618495785,0.0,Nenhuma
Embraer E190,8,47480,Turboprop,Delta,6,3987,31.146881105108108,0.0,Nenhuma
Airbus A320,20,35181,Turboprop,Emirates,17,4013,-33.29334449324791,1.0,Sistema de Pouso
Boeing 777,3,26292,Turbofan,Delta,5,4992,-32.23492144385288,0.0,Nenhuma
Embraer E190,16,22404,Turboprop,GOL,7,832,-3.6702955281332024,1.0,Sistema de Pouso
Airbus A320,13,43861,Turbofan,British,9,1166,-28.542184584344447,1.0,APU
Embraer E190,23,35040,Turboprop,United,1,1800,37.66191578263114,0.0,Nenhuma
Boeing 777,28,27036,Turbojato,LATAM,1,2626,-0.025865417624878262,1.0,Estrutural
Boeing 787,19,19664,Turboprop,Delta,19,4077,8.377833355638579,0.0,Nenhuma
Boeing 787,8,13496,Turbojato,Azul,6,3386,38.889017605637434,1.0,Sistema de Pouso
Bombardier CRJ,22,3371,Turbojato,Emirates,18,4437,5.072374179259633,0.0,Nenhuma
Boeing 787,5,46502,Turbojato,LATAM,10,1537,-9.944752593627921,0.0,Nenhuma
Boeing 787,20,23126,Turbofan,LATAM,11,3925,27.7581839943457,0.0,Nenhuma
Airbus A350,8,11021,Turboprop,Delta,1,3681,-2.3577332146070873,0.0,Nenhuma
Boeing 737,24,43910,Turbojato,Azul,1,4242,-12.930098823804041,1.0,Sistema Hidráulico
Airbus A350,12,1632,Turbojato,GOL,13,4008,21.474503981470434,1.0,Pressurização
Airbus A350,1,33967,Turbofan,Delta,5,3447,28.136482512108657,0.0,Nenhuma
Bombardier CRJ,25,15034,Turboprop,Azul,20,123,27.295874244663068,1.0,Sistema Hidráulico
Airbus A350,21,24354,Turboprop,LATAM,1,1409,43.10232520094014,1.0,Sistema Hidráulico
Boeing 787,20,43498,Turbofan,Emirates,20,1141,26.866690654371823,1.0,Motor
Boeing 777,6,39565,Turbofan,Azul,3,4903,25.44434205563833,0.0,Nenhuma
Bombardier CRJ,22,46107,Turboprop,LATAM,18,1991,32.88624656757872,1.0,Estrutural
Bombardier CRJ,18,8312,Turbofan,British,9,3198,-39.98425839988736,1.0,Sistema de Pouso
Airbus A330,8,5057,Turboprop,Delta,14,4353,-9.193330049039492,0.0,Nenhuma
Bombardier CRJ,7,2679,Turboprop,United,17,1294,22.69626316292588,0.0,Nenhuma
Airbus A330,1,44298,Turbojato,Delta,23,1335,10.976115944373575,1.0,Motor
Bombardier CRJ,21,9565,Turbojato,British,14,4555,-24.906379776312498,1.0,Estrutural
Boeing 737,16,8775,Turboprop,American,4,3086,-14.182687427473645,0.0,Nenhuma
Boeing 787,12,48357,Turboprop,American,5,820,-11.372628058020922,0.0,Nenhuma
Bombardier CRJ,6,36448,Turboprop,American,21,1893,8.265389449646861,1.0,Instrumentos
Boeing 787,20,21200,Turboprop,Delta,17,123,30.68585519749149,1.0,Sistema de Pouso
Boeing 787,2,39964,Turboprop,GOL,22,1710,39.26180128110279,0.0,Nenhuma
Embraer E190,29,42851,Turboprop,Delta,2,4399,23.757855092559318,0.0,Nenhuma
Bombardier CRJ,14,28294,Turbofan,Emirates,23,869,31.65078316502884,0.0,Nenhuma
Airbus A320,4,29283,Turboprop,British,22,3868,-0.04184353162113297,0.0,Nenhuma
Embraer E190,1,17498,Turbofan,Emirates,5,381,-6.869097832105574,0.0,Nenhuma
Airbus A320,23,14369,Turbofan,British,4,1471,-6.619774767741561,1.0,Sistema Hidráulico
